 address,district_title,deputies
" , Маріуполь",Дані відсутні,Дані відсутні
" пос. Мангуш.улица Дружбы 42, ",Дані відсутні,Дані відсутні
" село Калиновка  ул.Подгорная 68, ",Дані відсутні,Дані відсутні
" ул.Подгорная 191, с.Калинівка",Дані відсутні,Дані відсутні
"- -, ",Дані відсутні,Дані відсутні
"- -, Маріуполь",Дані відсутні,Дані відсутні
"- -, с.Калинівка",Дані відсутні,Дані відсутні
"- , Маріуполь",Дані відсутні,Дані відсутні
"Абрикосова (Приморский Район) 346, ",Дані відсутні,Дані відсутні
"Азовстальська 53, Маріуполь",Дані відсутні,Дані відсутні
"Бахмутська 124, Маріуполь",Дані відсутні,Дані відсутні
"бульв., Шевченка, 327 , Маріуполь",Дані відсутні,Дані відсутні
"бульвар Богдана Хмельницького 2, Маріуполь",Дані відсутні,Дані відсутні
"бульвар Богдана Хмельницького 6, Маріуполь",Дані відсутні,Дані відсутні
"бульвар Богдана Хмельницького 8, Маріуполь",Дані відсутні,Дані відсутні
"бульвар Меотиди  28, Маріуполь",Дані відсутні,Дані відсутні
"бульвар Меотиди  30, Маріуполь",Дані відсутні,Дані відсутні
"бульвар Морський   58, Маріуполь",Дані відсутні,Дані відсутні
"бульвар Морський  , Маріуполь",Дані відсутні,Дані відсутні
"бульвар Морський  2, Маріуполь",Дані відсутні,Дані відсутні
"бульвар Морський  22а, Маріуполь",Дані відсутні,Дані відсутні
"бульвар Морський  4, Маріуполь",Дані відсутні,Дані відсутні
"бульвар Морський  40, Маріуполь",Дані відсутні,Дані відсутні
"бульвар Морський  40/1, Маріуполь",Дані відсутні,Дані відсутні
"бульвар Морський  42, Маріуполь",Дані відсутні,Дані відсутні
"бульвар Морський  44, Маріуполь",Дані відсутні,Дані відсутні
"бульвар Морський  46, Маріуполь",Дані відсутні,Дані відсутні
"бульвар Морський  48, Маріуполь",Дані відсутні,Дані відсутні
"бульвар Морський  48а, Маріуполь",Дані відсутні,Дані відсутні
"бульвар Морський  50А, Маріуполь",Дані відсутні,Дані відсутні
"бульвар Морський  52, Маріуполь",Дані відсутні,Дані відсутні
"бульвар Морський  54, Маріуполь",Дані відсутні,Дані відсутні
"бульвар Морський  56, Маріуполь",Дані відсутні,Дані відсутні
"бульвар Морський  58, Маріуполь",Дані відсутні,Дані відсутні
"бульвар Морський  6, Маріуполь",Дані відсутні,Дані відсутні
"бульвар Морський  60, Маріуполь",Дані відсутні,Дані відсутні
"бульвар Морський  61, Маріуполь",Дані відсутні,Дані відсутні
"бульвар Морський  62, Маріуполь",Дані відсутні,Дані відсутні
"бульвар Морський  64, Маріуполь",Дані відсутні,Дані відсутні
"бульвар Морський  66, Маріуполь",Дані відсутні,Дані відсутні
"бульвар Морський  68, Маріуполь",Дані відсутні,Дані відсутні
"бульвар Морський  82, Маріуполь",Дані відсутні,Дані відсутні
"бульвар Приморський 27, Маріуполь",Дані відсутні,Дані відсутні
"бульвар Шевченка 325, Маріуполь",Дані відсутні,Дані відсутні
"бульвар Шевченка 327, Маріуполь",Дані відсутні,Дані відсутні
"вул. Донецька 95, Маріуполь",Дані відсутні,Дані відсутні
"вул. Куїнджі 156, Маріуполь",Дані відсутні,Дані відсутні
"вул. Лютнева 86, Маріуполь",Дані відсутні,Дані відсутні
"вул. Маріупольская 119, Маріуполь",Дані відсутні,Дані відсутні
"вул. Миколаївська , Маріуполь",Дані відсутні,Дані відсутні
"вул. Пилипа Орлика 118/16, Маріуполь",Дані відсутні,Дані відсутні
"вул. Підгірна 203а, с.Калинівка",Дані відсутні,Дані відсутні
"вул. Підгорна 191, с.Калинівка",Дані відсутні,Дані відсутні
"вул. Центральна 64, с. Віноградне",Дані відсутні,Дані відсутні
"вул., Пилипа Орлика (Урицького), 118/16 , Маріуполь",Дані відсутні,Дані відсутні
"вул., Торгова , Маріуполь",Дані відсутні,Дані відсутні
"вулиця  Вознесенська  33, Маріуполь",Дані відсутні,Дані відсутні
"вулиця  Михайла Грушевського        20, Маріуполь",Дані відсутні,Дані відсутні
"вулиця  Михайла Грушевського  , Маріуполь",Дані відсутні,Дані відсутні
"вулиця  Михайла Грушевського  1, ",Дані відсутні,Дані відсутні
"вулиця  Михайла Грушевського  12, Маріуполь",Дані відсутні,Дані відсутні
"вулиця  Михайла Грушевського  13, Маріуполь",Дані відсутні,Дані відсутні
"вулиця  Михайла Грушевського  14, Маріуполь",Дані відсутні,Дані відсутні
"вулиця  Михайла Грушевського  15, Маріуполь",Дані відсутні,Дані відсутні
"вулиця  Михайла Грушевського  16/18, Маріуполь",Дані відсутні,Дані відсутні
"вулиця  Михайла Грушевського  19, Маріуполь",Дані відсутні,Дані відсутні
"вулиця  Михайла Грушевського  2, Маріуполь",Дані відсутні,Дані відсутні
"вулиця  Михайла Грушевського  20, Маріуполь",Дані відсутні,Дані відсутні
"вулиця  Михайла Грушевського  21, Маріуполь",Дані відсутні,Дані відсутні
"вулиця  Михайла Грушевського  22, Маріуполь",Дані відсутні,Дані відсутні
"вулиця  Михайла Грушевського  25, Маріуполь",Дані відсутні,Дані відсутні
"вулиця  Михайла Грушевського  27, Маріуполь",Дані відсутні,Дані відсутні
"вулиця  Михайла Грушевського  27/25 , Маріуполь",Дані відсутні,Дані відсутні
"вулиця  Михайла Грушевського  29, Маріуполь",Дані відсутні,Дані відсутні
"вулиця  Михайла Грушевського  3, Маріуполь",Дані відсутні,Дані відсутні
"вулиця  Михайла Грушевського  31, Маріуполь",Дані відсутні,Дані відсутні
"вулиця  Михайла Грушевського  33, Маріуполь",Дані відсутні,Дані відсутні
"вулиця  Михайла Грушевського  35/134, Маріуполь",Дані відсутні,Дані відсутні
"вулиця  Михайла Грушевського  5, Маріуполь",Дані відсутні,Дані відсутні
"вулиця  Михайла Грушевського  62, Маріуполь",Дані відсутні,Дані відсутні
"вулиця  Михайла Грушевського  7, Маріуполь",Дані відсутні,Дані відсутні
"вулиця  Михайла Грушевського  888, Маріуполь",Дані відсутні,Дані відсутні
"вулиця  Михайла Грушевського  9, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 1 Кальчик 117, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 1 Кальчик 129б, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 1 Кальчик 137, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 1 Кальчик 164, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 1 Кальчик 165, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 1 Кальчик 41А, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 1 Кальчик 46, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 1 Кальчик 6, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 1 Кальчик 67, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 1 Кальчик 76, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 1 Кальчик 98, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 130 Таганрозької дивізії 91, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 2 Кальчик 10, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 2 Кальчик 125, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 2 Кальчик 128/1, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 2 Кальчик 130, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 2 Кальчик 136, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 2 Кальчик 161, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 2 Кальчик 179А, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 2 Кальчик 19, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 2 Кальчик 20, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 2 Кальчик 21, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 2 Кальчик 21Б, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 2 Кальчик 22, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 2 Кальчик 28, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 2 Кальчик 31, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 2 Кальчик 38, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 2 Кальчик 42, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 2 Кальчик 49, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 2 Кальчик 67б, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 2 Кальчик 8, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 2 Кальчик 80, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 2 Кальчик 8б, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 2 Кальчик 9, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 2 Кальчик 99, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 2 Кальчик 99в, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 9 Авіадивізії 10, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 9 Авіадивізії 106/38, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 9 Авіадивізії 12, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 9 Авіадивізії 14, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 9 Авіадивізії 16, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 9 Авіадивізії 24, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 9 Авіадивізії 24/73, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 9 Авіадивізії 26, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 9 Авіадивізії 26А, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 9 Авіадивізії 28, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 9 Авіадивізії 30, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 9 Авіадивізії 32, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 9 Авіадивізії 34, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 9 Авіадивізії 36, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 9 Авіадивізії 38, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 9 Авіадивізії 38/106, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 9 Авіадивізії 4, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 9 Авіадивізії 6, Маріуполь",Дані відсутні,Дані відсутні
"вулиця 9 Авіадивізії 8, Маріуполь",Дані відсутні,Дані відсутні
"вулиця А.Куїнджі  134, Маріуполь",Дані відсутні,Дані відсутні
"вулиця А.Куїнджі  140, Маріуполь",Дані відсутні,Дані відсутні
"вулиця А.Куїнджі  142, Маріуполь",Дані відсутні,Дані відсутні
"вулиця А.Куїнджі  142А, Маріуполь",Дані відсутні,Дані відсутні
"вулиця А.Куїнджі  144, Маріуполь",Дані відсутні,Дані відсутні
"вулиця А.Куїнджі  146, Маріуполь",Дані відсутні,Дані відсутні
"вулиця А.Куїнджі  148, Маріуполь",Дані відсутні,Дані відсутні
"вулиця А.Куїнджі  150, Маріуполь",Дані відсутні,Дані відсутні
"вулиця А.Куїнджі  152, Маріуполь",Дані відсутні,Дані відсутні
"вулиця А.Куїнджі  152А, Маріуполь",Дані відсутні,Дані відсутні
"вулиця А.Куїнджі  154, Маріуполь",Дані відсутні,Дані відсутні
"вулиця А.Куїнджі  156, Маріуполь",Дані відсутні,Дані відсутні
"вулиця А.Куїнджі  35, Маріуполь",Дані відсутні,Дані відсутні
"вулиця А.Куїнджі  37, Маріуполь",Дані відсутні,Дані відсутні
"вулиця А.Куїнджі  47, Маріуполь",Дані відсутні,Дані відсутні
"вулиця А.Куїнджі  48, Маріуполь",Дані відсутні,Дані відсутні
"вулиця А.Куїнджі  53, Маріуполь",Дані відсутні,Дані відсутні
"вулиця А.Куїнджі  54, Маріуполь",Дані відсутні,Дані відсутні
"вулиця А.Куїнджі  91, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Аеродромна 12, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Аеродромна 18, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Аеродромна 34, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Аеродромна 38, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Аеродромна 6, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Азовстальська 117, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Азовстальська 129, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Азовстальська 131А, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Азовстальська 150, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Азовстальська 158б, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Азовстальська 158в, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Азовстальська 19 корпус 2, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Азовстальська 19/1, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Азовстальська 19/2, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Азовстальська 22, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Азовстальська 45, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Азовстальська 47, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Азовстальська 48, с. Віноградне",Дані відсутні,Дані відсутні
"вулиця Азовстальська 51, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Азовстальська 55, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Азовстальська 57, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Азовстальська 60, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Азовстальська 61, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Азовстальська 63, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Азовстальська 89, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Азовська 89, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Алмазна 57, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Амурська 10, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Амурська 13, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Амурська 14, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Амурська 16, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Амурська 22/15, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Амурська 26, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Амурська 42, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Амурська 9, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Антенна 11, ",Дані відсутні,Дані відсутні
"вулиця Аральська 21/1, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Архітектора Нільсена  39, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Багратіона 1, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Бакинська 74, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Батумська 19, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Бахмутська 120, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Бахмутська 122, Маріуполь",Дані відсутні,Дані відсутні
